"","gene_id_go","gene_description","geneLink","GO"
"32","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","cell projection"
"33","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","apical part of cell"
"34","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","positive regulation of bone resorption"
"35","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","perinuclear region of cytoplasm"
"36","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","response to steroid hormone"
"37","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","negative regulation of collateral sprouting of intact axon in response to injury"
"38","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","extracellular matrix binding"
"39","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","extracellular vesicular exosome"
"40","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","neural crest cell migration"
"41","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","protein binding"
"42","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","nucleus"
"43","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","cytoplasm"
"44","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","plasma membrane"
"45","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","nervous system development"
"46","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","axon guidance"
"47","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","embryonic pattern specification"
"48","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","integral component of membrane"
"49","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","positive regulation of T cell proliferation"
"50","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","membrane raft"
"51","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","synapse"
"52","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","ephrin receptor binding"
"53","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","ephrin receptor signaling pathway"
"54","Efnb1","ephrin B1","https://www.ncbi.nlm.nih.gov/gene/?term=25186","extracellular vesicular exosome"
"55","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","transporter activity"
"56","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","protein binding"
"57","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","nucleus"
"58","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","mitochondrion"
"59","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","mitochondrial inner membrane"
"60","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","chromosome segregation"
"61","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","positive regulation of cell proliferation"
"62","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","membrane"
"63","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","integral component of membrane"
"64","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","mitochondrial nucleoid"
"65","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","poly(A) RNA binding"
"66","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","transmembrane transport"
"67","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","extracellular vesicular exosome"
"68","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","MMXD complex"
"69","Slc25a5","solute carrier family 25 member 5","https://www.ncbi.nlm.nih.gov/gene/?term=25176","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway"
"70","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","pericentriolar material"
"71","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","heterochromatin"
"72","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","acrosomal vesicle"
"73","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","zona pellucida receptor complex"
"74","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","ATP binding"
"75","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","nuclear heterochromatin"
"76","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","Golgi apparatus"
"77","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","centrosome"
"78","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","microtubule organizing center"
"79","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","chaperonin-containing T-complex"
"80","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","microtubule"
"81","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","plasma membrane"
"82","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","protein folding"
"83","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","spermatid development"
"84","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","binding of sperm to zona pellucida"
"85","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","cell junction"
"86","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","cell body"
"87","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","poly(A) RNA binding"
"88","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","unfolded protein binding"
"89","Tcp1","t-complex 1","https://www.ncbi.nlm.nih.gov/gene/?term=24818","extracellular vesicular exosome"
"90","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","glutamate dehydrogenase (NAD+) activity"
"91","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","glutamate dehydrogenase [NAD(P)+] activity"
"92","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","ATP binding"
"93","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","GTP binding"
"94","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","cytoplasm"
"95","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","mitochondrion"
"96","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","mitochondrial inner membrane"
"97","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","mitochondrial matrix"
"98","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","glutamate biosynthetic process"
"99","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","glutamate catabolic process"
"100","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","glutamine metabolic process"
"101","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","long-term memory"
"102","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","response to aluminum ion"
"103","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","enzyme binding"
"104","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","substantia nigra development"
"105","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","positive regulation of insulin secretion"
"106","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","ADP binding"
"107","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","oxidation-reduction process"
"108","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","NAD+ binding"
"109","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","leucine binding"
"110","Glud1","glutamate dehydrogenase 1","https://www.ncbi.nlm.nih.gov/gene/?term=24399","tricarboxylic acid metabolic process"
"111","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","tissue homeostasis"
"112","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","alditol:NADP+ 1-oxidoreductase activity"
"113","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","extracellular space"
"114","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","nucleus"
"115","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","nucleolus"
"116","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","cytoplasm"
"117","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","cytosol"
"118","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","monosaccharide metabolic process"
"119","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","sorbitol biosynthetic process"
"120","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","response to water deprivation"
"121","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","response to organic substance"
"122","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","naphthalene metabolic process"
"123","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","stress-activated protein kinase signaling cascade"
"124","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","cell projection cytoplasm"
"125","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","paranodal junction"
"126","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","norepinephrine metabolic process"
"127","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","mast cell granule"
"128","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","Schmidt-Lanterman incisure"
"129","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","glyceraldehyde oxidoreductase activity"
"130","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","daunorubicin metabolic process"
"131","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","doxorubicin metabolic process"
"132","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","positive regulation of JAK-STAT cascade"
"133","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","perinuclear region of cytoplasm"
"134","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","positive regulation of smooth muscle cell proliferation"
"135","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","oxidation-reduction process"
"136","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","maternal process involved in female pregnancy"
"137","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","extracellular vesicular exosome"
"138","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","cellular response to hydrogen peroxide"
"139","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","inner medullary collecting duct development"
"140","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","response to thyroid hormone"
"141","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","cellular response to methylglyoxal"
"142","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","Schwann cell microvillus"
"143","Akr1b1","aldo-keto reductase family 1 member B","https://www.ncbi.nlm.nih.gov/gene/?term=24192","cellular response to peptide"
"144","RT1-M2","RT1 class Ib locus M2","https://www.ncbi.nlm.nih.gov/gene/?term=24988","positive regulation of T cell mediated cytotoxicity"
"145","RT1-M2","RT1 class Ib locus M2","https://www.ncbi.nlm.nih.gov/gene/?term=24988","antigen processing and presentation of peptide antigen via MHC class I"
"146","RT1-M2","RT1 class Ib locus M2","https://www.ncbi.nlm.nih.gov/gene/?term=24988","immune response"
"147","RT1-M2","RT1 class Ib locus M2","https://www.ncbi.nlm.nih.gov/gene/?term=24988","cell surface"
"148","RT1-M2","RT1 class Ib locus M2","https://www.ncbi.nlm.nih.gov/gene/?term=24988","integral component of membrane"
"149","RT1-M2","RT1 class Ib locus M2","https://www.ncbi.nlm.nih.gov/gene/?term=24988","peptide antigen binding"
"150","RT1-M2","RT1 class Ib locus M2","https://www.ncbi.nlm.nih.gov/gene/?term=24988","MHC class I protein complex"
"151","Mapk10","mitogen activated protein kinase 10","https://www.ncbi.nlm.nih.gov/gene/?term=25272","MAPK cascade"
"152","Mapk10","mitogen activated protein kinase 10","https://www.ncbi.nlm.nih.gov/gene/?term=25272","JUN kinase activity"
"153","Mapk10","mitogen activated protein kinase 10","https://www.ncbi.nlm.nih.gov/gene/?term=25272","MAP kinase activity"
"154","Mapk10","mitogen activated protein kinase 10","https://www.ncbi.nlm.nih.gov/gene/?term=25272","protein binding"
"155","Mapk10","mitogen activated protein kinase 10","https://www.ncbi.nlm.nih.gov/gene/?term=25272","ATP binding"
"156","Mapk10","mitogen activated protein kinase 10","https://www.ncbi.nlm.nih.gov/gene/?term=25272","nucleus"
"157","Mapk10","mitogen activated protein kinase 10","https://www.ncbi.nlm.nih.gov/gene/?term=25272","cytoplasm"
"158","Mapk10","mitogen activated protein kinase 10","https://www.ncbi.nlm.nih.gov/gene/?term=25272","mitochondrion"
"159","Mapk10","mitogen activated protein kinase 10","https://www.ncbi.nlm.nih.gov/gene/?term=25272","plasma membrane"
"160","Mapk10","mitogen activated protein kinase 10","https://www.ncbi.nlm.nih.gov/gene/?term=25272","protein phosphorylation"
"161","Mapk10","mitogen activated protein kinase 10","https://www.ncbi.nlm.nih.gov/gene/?term=25272","JNK cascade"
"162","Mapk10","mitogen activated protein kinase 10","https://www.ncbi.nlm.nih.gov/gene/?term=25272","JUN phosphorylation"
"163","Rpl39","ribosomal protein L39","https://www.ncbi.nlm.nih.gov/gene/?term=25347","innate immune response in mucosa"
"164","Rpl39","ribosomal protein L39","https://www.ncbi.nlm.nih.gov/gene/?term=25347","structural constituent of ribosome"
"165","Rpl39","ribosomal protein L39","https://www.ncbi.nlm.nih.gov/gene/?term=25347","extracellular space"
"166","Rpl39","ribosomal protein L39","https://www.ncbi.nlm.nih.gov/gene/?term=25347","translation"
"167","Rpl39","ribosomal protein L39","https://www.ncbi.nlm.nih.gov/gene/?term=25347","antibacterial humoral response"
"168","Rpl39","ribosomal protein L39","https://www.ncbi.nlm.nih.gov/gene/?term=25347","cytosolic large ribosomal subunit"
"169","Rpl39","ribosomal protein L39","https://www.ncbi.nlm.nih.gov/gene/?term=25347","defense response to Gram-positive bacterium"
"170","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","integrin binding"
"171","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","structural molecule activity"
"172","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","structural constituent of cytoskeleton"
"173","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","cytoplasm"
"174","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","intermediate filament"
"175","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","response to wounding"
"176","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","positive regulation of Schwann cell proliferation"
"177","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","negative regulation of neuron projection development"
"178","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","astrocyte development"
"179","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","membrane"
"180","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","kinase binding"
"181","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","extracellular matrix organization"
"182","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","neuron projection regeneration"
"183","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","cell projection"
"184","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","cell body"
"185","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","intermediate filament-based process"
"186","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","intermediate filament organization"
"187","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","regulation of neurotransmitter uptake"
"188","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","Bergmann glial cell differentiation"
"189","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","positive regulation of glial cell proliferation"
"190","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","long-term synaptic potentiation"
"191","Gfap","glial fibrillary acidic protein","https://www.ncbi.nlm.nih.gov/gene/?term=24387","astrocyte projection"
"192","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","RNA polymerase II regulatory region sequence-specific DNA binding"
"193","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription"
"194","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","DNA binding"
"195","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","intracellular"
"196","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","cell"
"197","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","nucleus"
"198","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","transcription DNA-templated"
"199","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","transcription from RNA polymerase II promoter"
"200","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","mitochondrial calcium ion transport"
"201","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","Golgi organization"
"202","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","G-protein coupled receptor signaling pathway"
"203","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","cell-cell signaling"
"204","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","calcium-mediated signaling"
"205","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","glucose homeostasis"
"206","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","protein homodimerization activity"
"207","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","positive regulation of transcription from RNA polymerase II promoter"
"208","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","intracellular distribution of mitochondria"
"209","Bhlha15","basic helix-loop-helix family member a15","https://www.ncbi.nlm.nih.gov/gene/?term=25334","cell maturation"
"210","Rhox5","Rhox homeobox family member 5","https://www.ncbi.nlm.nih.gov/gene/?term=24631","negative regulation of transcription from RNA polymerase II promoter"
"211","Rhox5","Rhox homeobox family member 5","https://www.ncbi.nlm.nih.gov/gene/?term=24631","DNA binding"
"212","Rhox5","Rhox homeobox family member 5","https://www.ncbi.nlm.nih.gov/gene/?term=24631","nucleus"
"213","Rhox5","Rhox homeobox family member 5","https://www.ncbi.nlm.nih.gov/gene/?term=24631","cytoplasm"
"214","Rhox5","Rhox homeobox family member 5","https://www.ncbi.nlm.nih.gov/gene/?term=24631","transcription DNA-templated"
"215","Rhox5","Rhox homeobox family member 5","https://www.ncbi.nlm.nih.gov/gene/?term=24631","sperm motility"
"216","Rhox5","Rhox homeobox family member 5","https://www.ncbi.nlm.nih.gov/gene/?term=24631","ectopic germ cell programmed cell death"
"217","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","molecular_function"
"218","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","cytoplasm"
"219","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","lysosome"
"220","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","lysosomal membrane"
"221","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","endosome"
"222","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","late endosome"
"223","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","multivesicular body"
"224","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","vacuole"
"225","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","autophagy"
"226","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","granzyme-mediated apoptotic signaling pathway"
"227","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","external side of plasma membrane"
"228","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","cell surface"
"229","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","endosome membrane"
"230","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","membrane"
"231","Lamp1","lysosomal-associated membrane protein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25328","integral component of membrane"
